title,city,district,description
WEB前端开发工程师,重庆,南岸,"【工作内容】
岗位职责1.负责公司Web前端开发工作使用HTML5/CSS3/JavaScript技术实现高交互性用户界面  2.配合UI设计师完成页面重构确保设计稿100%还原  3.使用Vue.js/React框架开发响应式网页适配主流浏览器  4.参与前端性能优化将页面加载速度控制在2秒以内
【任职要求】
任职要求1.大专及以上学历计算机相关专业1年以上前端开发经验  2.精通HTML5/CSS3/JavaScript熟悉ES6+语法规范  3.掌握Vue.js或React框架开发至少完成过3个以上商业项目  4.了解Webpack等构建工具具备基础Node.js开发能力
"
前端工程师（海外零售-签约OPPO全资子公司）,东莞,,"【工作内容】
该岗位Base东莞滨海湾OPPO园区莞深有上下班接驳班车。岗位职责岗位职责1、负责 OPPO 零售业务前端H5PC后管等技术架构设计及核心功能模块开发2、对产品业务需求进行分析拆解能够把产品业务需求转化为技术能力参与平台规划和讨论从技术角度给出意见完成相应设计、编码、协助测试以及相关文档3、具备良好的前端技术解决方案能力解决关键的架构、技术问题4、有较强的问题分析和解决能力可以解决系统疑难杂症和兼容性问题5、持续优化整体系统性能给用户提供高质量的产品交互体验
【任职要求】
任职要求任职要求1、基础扎实熟练掌握HTML5/CSS3/ES6等语法精通一种主流的前端框架和技术。(Vue、React)2、能够高度还原设计稿掌握基本的CSS3动效开发能力3、具备良好的系统架构设计能力和工程化建设能力能够独立主导模块化或组件化开发考虑系统的可扩展性、可维护性、性能和安全性等因素4、有AI编程工具Cursor、Claude Code、Copilot使用经验并且能够将其落地到实际开发项目中显著提升开发效率5、至少了解一门后端语言Node、Java等熟悉与后端协作模式6、思路清晰沟通表达能力良好具备跨团队协作能力有较强的责任心和团队精神加分项1、有大型平台类项目研发经验优先2、具备B2C电商、自营电商、零售类研发经验优先
"
WEB前端工程师,西安,,"【工作内容】
工作职责1、负责 Web App 应用前端开发2、前端项目持续优化
【任职要求】
任职要求1、本科及以上学历2、4年以上 Web 前端开发经验能力突出的应届毕业生亦在考虑范围内3、熟悉 Web 前端开发技能HTML, CSS, Javascript4、熟悉前端开发框架 Vue.js, React, Angular 等5、熟悉 Node.js 等 Javascript 相关技术者优先6、有移动平台开发经验者优先7、热爱技术者优先
"
WEB前端开发工程师,镇江,京口,"【工作内容】
岗位职责】负责公司Web端产品、管理后台及移动端H5页面的前端开发与迭代与业务部门沟通需求参与需求评审理解业务逻辑并提供前端技术建议与后端开发工程师协作完成前后端数据接口的对接调试参与前端代码的优化提升页面加载速度和用户体验维护现有项目及时修复Bug保证系统稳定运行
【任职要求】
【任职要求】本科及以上学历计算机相关专业熟练掌握HTML5、CSS3、JavaScript等框架对金蝶BOS开发等低代码开发平台有经验者优先具备良好的沟通能力和团队协作意识工作踏实、责任心强
"
游戏前端开发程序员,厦门,集美,"【工作内容】
【研发岗位】岗位职责1. 负责游戏基础功能模块开发与实现包括常规UI界面开发、简单玩法逻辑编码、角色基础控制与交互等确保功能符合策划需求。2. 依据策划文档及美术资源完成基础场景搭建、Prefab制作与配置、动画及简单特效集成保障资源正常加载与运行。3. 参与游戏现有功能的日常维护、Bug排查与修复在指导下进行代码调试与优化提升代码健壮性保障游戏运行稳定性。4. 遵循团队编码规范编写清晰、可维护的C#代码配合资深工程师完成模块联调、功能整合参与代码评审并迭代优化
【任职要求】
任职要求1. 计算机科学与技术、软件工程等计算机相关专业本科及以上学历优秀应届生或12年Unity游戏开发经验。2. 具备扎实的C#编程基础能独立编写基础功能代码。3. 热爱游戏开发了解游戏开发基本流程能根据策划需求拆解任务并转化为代码实现有简单功能模块独立开发经验者优先。4. 具备良好的逻辑思维能力学习能力强具备强烈的责任心与执行力对待工作认真细致能积极响应团队需求
"
前端开发工程师(J10002),武汉,蔡甸,"【工作内容】
职责描述1、负责项目的PC端、移动端的相关前端卡法工作;2、根据产品需求与产品、设计、后端程序开发人员对接实现产品界面和功能3、持续的优化前端体验和页面响应速度
【任职要求】
任职要求1、计算机、GIS等相关专业本科及以上学历有扎实的前端基础熟练使用JavaScript(ES6)、HTML、CSS有6年以上的前端开发经验2、了解MVVM框架熟练使用主流框架(React/vue等)进行web开发至少对其中一种有深入应用3、了解数据结构和算法对性能和用户体验有自己的追求4、熟练应用Cursor等AI工具
"
高级前端工程师,成都,,"【工作内容】
【关于我们】四川云起老和科技有限公司是一家专注于通过前沿技术如AI、大模型、物联网IoT推动传统产业如产业园区、制造业、能源等数字化转型的科技公司。根植于浙江大学和清华大学联合成立的智能电网运行与优化实验室由院士领衔、全国产业地产30强、四川民营企业10强四川浩旺集团战略投资公司资金实力雄厚、产业资源丰富是国家高新技术企业、四川省专精特新企业、成都市高层次四派企业和瞪羚企业。我们的核心产品已帮助上百家产业园区/制造业企业实现了数字化升级当前公司级产品正稳步成为产业数字化的新标准累计产值过亿。斩获国际人工智能顶会电力调控竞赛双赛道亚军全球共有百度、美国电力研究院等300余支队伍参赛、中国发明协会""发明创业项目奖""银奖、国网公司科学技术进步一等奖、中国电力科学技术奖一等奖、中电联电力创新奖特等奖、四川省第三批新型智慧城市技术创新产品、四川省新型智慧城市典型应用案例、浙江省科学技术进步一等奖、浙江省首张工业企业""碳中和""证书、成都市工业互联网十佳应用案例、成都市四星级智慧园区。我们不仅是一家科技公司更是产业变革的深度参与者和赋能者。我们相信真正的价值源于对产业的深刻敬畏与理解。【职位概述】诚邀资深前端技术领导者加入主导智慧招商平台、运营管理平台及IOC中心前端架构设计与核心开发负责3D园区、能源可视化、数据大屏等核心功能落地带领初中级工程师团队完善前端技术体系推动技术创新。【核心职责】一、架构设计与技术攻坚?主导核心产品前端架构设计与技术选型搭建微前端模块化架构支撑多平台协同开发与独立部署。?负责复杂业务模块开发与代码管控制定前端开发规范与质量标准保障代码可维护性与性能。?推动前端工程化建设优化Webpack/Vite等工具链与开发流程提升团队开发效率。?攻克前端性能、兼容性等疑难问题优化大数据场景下的运行体验。二、数据可视化与3D技术落地?负责IOC中心数据可视化大屏开发与优化基于ECharts实现自适应展示。?运用WebGL或Three.js开发3D园区可视化功能优化3D渲染性能。?设计可视化与3D场景联动逻辑。三、技术创新与AI协同?运用GitHub Copilot、ChatGPT、Cursor等AI工具提升代码生成、问题排查效率与代码质量。?跟进前端前沿技术开展技术预研与创新实践保持团队技术竞争力。?牵头技术攻关推动微前端、组件化、智能化技术在业务中的落地。四、团队管理与协同赋能?管理初中级前端团队开展技术指导、代码审查制定成长计划。?与产品、后端等团队高效协同推动技术方案落地解决协作分歧。?统筹任务分配与进度管控确保项目按时按质交付
【任职要求】
【任职要求】一、必备学历与工作背景1. 教育背景本科及以上学历计算机、软件工程等相关专业优先具备扎实的计算机基础知识数据结构、算法、网络协议、浏览器原理。2. 工作经历5年以上前端开发经验且满足以下任一条件?2年以上数据可视化/大屏项目全流程开发经验?1年以上微信小程序开发经验熟悉性能优化与跨端适配?1年以上3D可视化WebGL/Three.js或Unity开发经验?有大型Web应用开发与优化经验二、必备核心能力1. 前端技术能力?精通React框架理解核心原理能进行框架级性能优化?熟练掌握JavaScriptES6+核心原理能编写高质量代码?精通TypeScript能进行复杂类型定义与系统设计?熟练运用HTML5、CSS3掌握响应式开发与跨浏览器兼容技巧。2. 前端工程化与架构能力?精通Webpack/Vite等工程化工具能完成配置优化与打包提速?具备微前端如qiankun架构设计与落地能力?掌握前端性能优化技巧能有效降低页面加载时间。3. 数据可视化与3D技术能力?熟练掌握ECharts能实现复杂图表与交互?具备WebGL/Three
"
前端工程师（angular）,苏州,太仓,"【工作内容】
1、熟练掌握angular及其生态链具备独立开发angular项目的能力。2、熟悉HTML5、CSS3、JavaScript等前端基础技术对ES6/ES7等现代JavaScript语法有深入了解。  3、熟悉Webpack等前端构建工具熟悉其配置和优化。  4、对Web前端性能优化、响应式布局、组件化开发等有深入理解和实践经验。  5、熟悉使用UI组件库如antdesign等具备自定义组件的开发能力。  6、熟练掌握跨浏览器、跨平台的前端开发调试技术。  7、了解Node.js、Express等后端技术具备前后端联调能力。  8、7年以上经验。9、不加班提供住宿2餐
【任职要求】

"
前端开发工程师,湖州,吴兴,"【工作内容】
岗位职责1、负责前端为主的软件功能模块的概要设计2、负责前端开发任务分配和安排3、负责前端编码4、负责解决前端疑难技术问题5、担任前端为主的软件产品的项目经理
【任职要求】
任职要求1、计算机相关专业及本科以上学历3年以上 Web 前端开发经验2、了解HTML5、CSS3、Javascript对es6/ts等新技术栈有涉猎者优先 3、对主流前端框架Vue有深入理解和应用4、有svg图形化开发经验5、关注 Web 发展对新技术充满激情期待或者已经开发出优秀的产品6、有团队精神性格乐观开朗有很强的适应能力能积极面对压力具备良好的服务意识及跨团队沟通和协作能力7、具备较强系统设计能力、工程化能力、技术规划能力
"
前端开发工程师-QWCHS01,广州-海珠区,广州-海珠区,"1、全日制本科学历，5年以上web前端开发相关经验
2、前端基础知识扎实，熟练掌握 TS/ES、HTML、CSS，熟悉至少-种MV*框架(React，Vue，Angular等)和主流类库;
3、具备跨终端的前端开发能力，在Web(PC+Mokile)/Hybrid App/Native App/微信小程序方向上至少精通一个方向，具备多个的更佳对前端工程化与模块化开发有一定了解，并有实践经验(如Webpack/GUIp/NPM/YARN/PNPM等);
4、前端性能优化有一定经验;对前端可用性、浏览器原理、兼容性问题解决及熟悉一门后台语言(如Java/PHP/C/C++/Python/Ruby/NodeJs)，并有实践经验者优先;
5、研发、社区开源项目和自研开源组件作品等优先;具备钻研精神，对前沿技术有持续研究，有二次具备良好的团队协作精神，能利用自身技术能力提升团队整体研发效率，提高团队影响力;
6、对前端技术有持续的热情，个性乐观开朗，逻辑性强，善于和各种背景的人合作。"
前端开发工程师,太原,阳曲,"【工作内容】
职责描述:1、根据公司产品发展方向负责PC端、移动端的设计和研发和实施工作2、根据产品需求分析并给出合理的前端解决方案3、和服务端进行有效配合完成接口嵌入和调试工作4、不断学习和探索新技术持续优化前端开发流程和效率5、接受领导安排其他工作任务
【任职要求】
任职资格:1、计算机科学、软件工程或相关专业本科及以上学历具备3年以上相关工作经验2、精通HTML5、CSS3、JavaScript等前端开发技术了解Web标准与兼容性3、具备Vue全家桶Vue Router、Vuex实战经验能独立封装可复用组件具备实际项目开发经验能承受工作压力4、精通Webpack配置及优化熟悉模块化5、具备从零搭建前端项目的能力能定制化脚手架或优化构建流程6、具备良好的编码习惯和代码质量意识能编写高效、规范的代码7、具有一定后端服务(Node.js)及sql开发能力 8、具有工厂信息化项目如MES/ERP/LIMS/设备管理优先
"
中高级前端开发工程师,湖州,德清,"【工作内容】
岗位职责1、理解产品业务、参与需求分析、功能设计按照要求产出阶段设计输出物;2、负责前端产品业务功能实施工作承担业务功能及通用公共组件代码编写保证交付功能质量;3、其他领导安排的研发相关工作
【任职要求】
任职要求:1、熟练掌握UniApp框架能够跨平台开发应用经验;2、3年以上Web端工作经验精通微信小程序、百度小程序熟悉VE等主流前端开发框架可以独立建立vue的脚手架;3、精通HTML、CSS、JavsScript等技术熟悉页面架构和布局;掌握响应式布局的基本知识能够开发出具有响应式布局的页面;4、熟悉HTTP协议标准;5、熟悉WEB标准对HTML、XML、JSON有深刻了解;6、熟悉Java接口开发能熟练跟后端配合
"
前端开发工程师（硚口区）,武汉,硚口,"【工作内容】
1、本科及以上学历计算机/软件等相关专业毕业4年及以上VUE项目独立开发工作经验 2、熟练掌握Vue3组合式APIComposition API及生态Vite/Pinia/Vue Router的使用、熟练掌握TypeScript等熟练运用主流的前端框架 3、了解至少一种关系型数据库如MySQL, PostgreSQL和非关系型数据库如Redis包括性能优化、分库分表等 4、了解容器化技术如docker熟悉Linux常见命令能熟练操作Linux操作系统 5、了解使用Java开发语言掌握Spring开发框架之一如Spring Boot, Spring MVC, Spring Data, Spring Cloud等、mybatis等开发框架了解分布式架构 6、具备良好的沟通写作能力和团队合作精神有较强的问题解决能力和责任心能高效完成并交付任务。7、可以线上面试有银行金融行业的大型app开发经验优先
【任职要求】

"
高级前端开发工程师,怀化,中方,"【工作内容】
职责1. 参与软件产品前期的需求对接2. 前端和混合APP开发参与智慧环卫相关平台平台功能开发包括前端界面和混合APP功能实现。3. 前端架构设计实现前后端交互确保前端和混合APP流畅高效提供优质的用户体验。4. 持续优化根据用户反馈优化功能和性能提高平台的用户体验和响应速度。5. CI/CD参与CI/CD的构建与维护
【任职要求】
职位要求1. 国内外知名院校本科及以上学历2. 具有阅读开源框架源码的习惯3. 熟悉至少一种前端框架有过混合APP开发的经验者优先如vue/react/angular等5. 熟悉常见数据库如mysql/PostgeSQL/mongodb6. 熟悉Linux系统及shell脚本7. 沟通良好做事踏实且对技术抱有极大的热情和追求
"
WEB前端开发工程师,成都,,"【工作内容】
岗位职责1.负责公司Web前端开发工作使用HTML5/CSS3/JavaScript等技术实现高交互性用户界面  2.配合UI设计师完成页面重构确保设计稿100%还原  3.使用Vue.js/React框架开发响应式Web应用适配主流浏览器  4.优化前端性能将页面加载速度控制在2秒以内
【任职要求】
任职要求1.大专及以上学历计算机相关专业1年以上前端开发经验  2.精通HTML5/CSS3/JavaScript熟悉ES6+语法规范  3.掌握Vue.js/React框架开发至少完成过3个以上企业级项目  4.了解Webpack等构建工具具备前端工程化实践经验
"
